marker,source_platform,target_platform,slope,intercept
AFP,Roche cobas,Abbott ARCHITECT,0.975,4.51
AFP,Roche cobas,Siemens ADVIA,1.332,0.99
AFP,Roche cobas,Beckman DxI,0.756,-3.44
AFP,Roche cobas,VITROS,0.658,3.66
AFP,Roche cobas,bioMérieux VIDAS,1.201,2.08
AFP,Roche cobas,Abbott Alinity,0.621,4.7
AFP,Roche cobas,Siemens Atellica,1.432,-2.88
AFP,Roche cobas,Roche e411,0.782,-3.17
AFP,Abbott ARCHITECT,Roche cobas,0.904,0.25
AFP,Abbott ARCHITECT,Siemens ADVIA,1.032,-2.09
AFP,Abbott ARCHITECT,Beckman DxI,1.212,-3.61
AFP,Abbott ARCHITECT,VITROS,0.892,-1.34
AFP,Abbott ARCHITECT,bioMérieux VIDAS,1.056,2.85
AFP,Abbott ARCHITECT,Abbott Alinity,0.8,0.14
AFP,Abbott ARCHITECT,Siemens Atellica,1.192,-4.54
AFP,Abbott ARCHITECT,Roche e411,1.208,-3.29
AFP,Siemens ADVIA,Roche cobas,0.665,4.49
AFP,Siemens ADVIA,Abbott ARCHITECT,1.566,3.08
AFP,Siemens ADVIA,Beckman DxI,0.905,-4.02
AFP,Siemens ADVIA,VITROS,1.284,-0.6
AFP,Siemens ADVIA,bioMérieux VIDAS,0.722,-0.05
AFP,Siemens ADVIA,Abbott Alinity,0.634,4.09
AFP,Siemens ADVIA,Siemens Atellica,0.859,1.63
AFP,Siemens ADVIA,Roche e411,0.912,0.2
AFP,Beckman DxI,Roche cobas,1.147,-3.15
AFP,Beckman DxI,Abbott ARCHITECT,1.57,2.75
AFP,Beckman DxI,Siemens ADVIA,1.539,3.95
AFP,Beckman DxI,VITROS,1.198,4.22
AFP,Beckman DxI,bioMérieux VIDAS,0.688,-3.04
AFP,Beckman DxI,Abbott Alinity,0.645,-1.75
AFP,Beckman DxI,Siemens Atellica,0.989,-2.29
AFP,Beckman DxI,Roche e411,1.429,-1.43
AFP,VITROS,Roche cobas,0.881,0.43
AFP,VITROS,Abbott ARCHITECT,0.741,3.02
AFP,VITROS,Siemens ADVIA,0.675,4.87
AFP,VITROS,Beckman DxI,1.372,-3.01
AFP,VITROS,bioMérieux VIDAS,0.606,3.15
AFP,VITROS,Abbott Alinity,1.307,2.29
AFP,VITROS,Siemens Atellica,1.371,-4.26
AFP,VITROS,Roche e411,0.958,-3.84
AFP,bioMérieux VIDAS,Roche cobas,1.463,1.23
AFP,bioMérieux VIDAS,Abbott ARCHITECT,0.931,-4.36
AFP,bioMérieux VIDAS,Siemens ADVIA,0.911,-1.75
AFP,bioMérieux VIDAS,Beckman DxI,1.33,1.38
AFP,bioMérieux VIDAS,VITROS,1.487,-0.28
AFP,bioMérieux VIDAS,Abbott Alinity,0.72,2.13
AFP,bioMérieux VIDAS,Siemens Atellica,1.361,0.61
AFP,bioMérieux VIDAS,Roche e411,1.371,-0.06
AFP,Abbott Alinity,Roche cobas,1.123,-0.72
AFP,Abbott Alinity,Abbott ARCHITECT,0.625,-3.92
AFP,Abbott Alinity,Siemens ADVIA,0.631,1.36
AFP,Abbott Alinity,Beckman DxI,0.914,0.09
AFP,Abbott Alinity,VITROS,1.508,-2.51
AFP,Abbott Alinity,bioMérieux VIDAS,1.01,2.56
AFP,Abbott Alinity,Siemens Atellica,0.829,-4.23
AFP,Abbott Alinity,Roche e411,0.89,-3.39
AFP,Siemens Atellica,Roche cobas,1.53,3.08
AFP,Siemens Atellica,Abbott ARCHITECT,1.233,3.71
AFP,Siemens Atellica,Siemens ADVIA,1.404,-3.13
AFP,Siemens Atellica,Beckman DxI,1.493,0.39
AFP,Siemens Atellica,VITROS,1.407,3.96
AFP,Siemens Atellica,bioMérieux VIDAS,0.918,-3.9
AFP,Siemens Atellica,Abbott Alinity,0.828,-0.73
AFP,Siemens Atellica,Roche e411,1.418,3.61
AFP,Roche e411,Roche cobas,0.607,0.11
AFP,Roche e411,Abbott ARCHITECT,1.017,-2.78
AFP,Roche e411,Siemens ADVIA,0.72,-1.62
AFP,Roche e411,Beckman DxI,1.543,-1.77
AFP,Roche e411,VITROS,1.119,2.03
AFP,Roche e411,bioMérieux VIDAS,0.964,4.72
AFP,Roche e411,Abbott Alinity,1.562,-2.48
AFP,Roche e411,Siemens Atellica,1.097,-1.99
CA125,Roche cobas,Abbott ARCHITECT,0.885,-4.63
CA125,Roche cobas,Siemens ADVIA,1.21,0.03
CA125,Roche cobas,Beckman DxI,0.651,-2.21
CA125,Roche cobas,VITROS,1.508,-2.6
CA125,Roche cobas,bioMérieux VIDAS,0.745,-0.11
CA125,Roche cobas,Abbott Alinity,1.586,-2.58
CA125,Roche cobas,Siemens Atellica,1.272,2.62
CA125,Roche cobas,Roche e411,0.838,2.28
CA125,Abbott ARCHITECT,Roche cobas,0.968,1.32
CA125,Abbott ARCHITECT,Siemens ADVIA,1.234,0.36
CA125,Abbott ARCHITECT,Beckman DxI,0.69,3.35
CA125,Abbott ARCHITECT,VITROS,0.921,-3.13
CA125,Abbott ARCHITECT,bioMérieux VIDAS,0.641,0.91
CA125,Abbott ARCHITECT,Abbott Alinity,1.278,-4.83
CA125,Abbott ARCHITECT,Siemens Atellica,1.112,-2.74
CA125,Abbott ARCHITECT,Roche e411,1.245,-3.26
CA125,Siemens ADVIA,Roche cobas,1.291,-1.13
CA125,Siemens ADVIA,Abbott ARCHITECT,1.537,-3.62
